time,ecg
1710814952977,93
1710814952985,90
1710814952992,105
1710814953000,112
1710814953008,115
1710814953015,130
1710814953023,139
1710814953031,139
1710814953039,157
1710814953046,181
1710814953054,181
1710814953062,181
1710814953069,196
1710814953077,198
1710814953085,191
1710814953092,203
1710814953100,218
1710814953108,218
1710814953115,206
1710814953123,203
1710814953131,206
1710814953137,184
1710814953145,144
1710814953153,115
1710814953161,83
1710814953169,44
1710814953177,17
1710814953184,4
1710814953192,-7
1710814953200,-17
1710814953207,-19
1710814953215,-24
1710814953223,-31
1710814953230,-34
1710814953238,-31
1710814953246,-31
1710814953253,-34
1710814953261,-31
1710814953269,-19
1710814953276,-17
1710814953284,-17
1710814953292,-9
1710814953299,2
1710814953307,9
1710814953315,2
1710814953321,0
1710814953329,12
1710814953337,4
1710814953345,-2
1710814953353,17
1710814953361,41
1710814953369,46
1710814953376,29
1710814953384,0
1710814953392,-4
1710814953399,12
1710814953407,24
1710814953415,26
1710814953422,41
1710814953430,56
1710814953438,58
1710814953445,71
1710814953453,93
1710814953461,93
1710814953468,76
1710814953476,71
1710814953484,90
1710814953491,73
1710814953499,31
1710814953507,56
1710814953513,103
1710814953521,98
1710814953529,100
1710814953537,157
1710814953545,291
1710814953553,544
1710814953560,765
1710814953568,613
1710814953576,31
1710814953583,-382
1710814953591,-223
1710814953599,0
1710814953606,-17
1710814953614,14
1710814953622,85
1710814953629,63
1710814953637,49
1710814953645,85
1710814953653,93
1710814953660,76
1710814953668,88
1710814953676,110
1710814953683,117
1710814953691,120
1710814953699,130
1710814953705,147
1710814953713,159
1710814953721,159
1710814953729,159
1710814953737,169
1710814953745,184
1710814953752,193
1710814953760,220
1710814953768,250
1710814953775,245
1710814953783,240
1710814953791,262
1710814953798,269
1710814953806,240
1710814953814,218
1710814953821,208
1710814953829,181
1710814953837,144
1710814953844,127
1710814953852,115
1710814953860,78
1710814953867,49
1710814953875,53
1710814953883,66
1710814953889,58
1710814953897,51
1710814953905,66
1710814953913,93
1710814953921,115
1710814953929,132
1710814953937,132
1710814953944,112
1710814953952,117
1710814953960,139
1710814953967,137
1710814953975,120
1710814953983,130
1710814953990,144
1710814953998,125
1710814954006,105
1710814954013,112
1710814954021,127
1710814954029,127
1710814954036,115
1710814954044,95
1710814954052,83
1710814954059,95
1710814954067,107
1710814954075,88
1710814954081,78
1710814954089,103
1710814954097,95
1710814954105,66
1710814954113,61
1710814954121,73
1710814954128,88
1710814954136,88
1710814954144,71
1710814954151,41
1710814954159,19
1710814954167,14
1710814954174,2
1710814954182,-12
1710814954190,2
1710814954197,22
1710814954205,19
1710814954213,2
1710814954220,4
1710814954228,26
1710814954236,51
1710814954244,154
1710814954251,409
1710814954259,672
1710814954267,625
1710814954273,115
1710814954281,-399
1710814954289,-348
1710814954297,-73
1710814954305,-49
1710814954313,-49
1710814954320,-17
1710814954328,-61
1710814954336,-53
1710814954343,4
1710814954351,14
1710814954359,14
1710814954366,36
1710814954374,53
1710814954382,41
1710814954389,26
1710814954397,31
1710814954405,58
1710814954412,85
1710814954420,88
1710814954428,95
1710814954435,120
1710814954443,127
1710814954451,127
1710814954457,157
1710814954465,186
1710814954473,184
1710814954481,184
1710814954489,201
1710814954497,196
1710814954504,181
1710814954512,186
1710814954520,174
1710814954528,127
1710814954535,90
1710814954543,83
1710814954551,49
1710814954558,-4
1710814954566,-17
1710814954574,-22
1710814954581,-51
1710814954589,-58
1710814954597,-34
1710814954604,-31
1710814954612,-41
1710814954620,-34
1710814954627,-39
1710814954635,-53
1710814954643,-41
1710814954649,-12
1710814954657,-2
1710814954665,-17
1710814954673,-17
1710814954681,9
1710814954689,31
1710814954696,31
1710814954704,24
1710814954712,19
1710814954719,19
1710814954727,24
1710814954735,26
