time,ppg
1710814962905,1531802
1710814962945,1529458
1710814962985,1528940
1710814963025,1528799
1710814963066,1530628
1710814963107,1536488
1710814963146,1542651
1710814963186,1543972
1710814963227,1542737
1710814963267,1542302
1710814963308,1543276
1710814963347,1544909
1710814963387,1545549
1710814963428,1546193
1710814963468,1547738
1710814963510,1548140
1710814963550,1545921
1710814963590,1542213
1710814963630,1539964
1710814963670,1540736
1710814963715,1543833
1710814963755,1544836
1710814963795,1544507
1710814963838,1543354
1710814963878,1541977
1710814963920,1540655
1710814963959,1539417
1710814963999,1538313
1710814964039,1537711
1710814964080,1537442
1710814964120,1537390
1710814964160,1537133
1710814964200,1534269
1710814964240,1529746
1710814964280,1526285
1710814964321,1527022
1710814964360,1532090
1710814964400,1537644
1710814964441,1540280
1710814964481,1540810
1710814964522,1538073
1710814964562,1537761
1710814964602,1538918
1710814964642,1539382
1710814964682,1539140
1710814964723,1539336
1710814964763,1541581
1710814964803,1544130
1710814964843,1546268
1710814964883,1545376
1710814964924,1543537
1710814964964,1543167
1710814965004,1545255
1710814965045,1546373
1710814965085,1546903
1710814965126,1546732
1710814965166,1548511
1710814965206,1548323
1710814965247,1547165
1710814965287,1545410
1710814965328,1543841
1710814965371,1542914
1710814965411,1542579
1710814965456,1542445
1710814965496,1542385
1710814965537,1540310
1710814965578,1539545
1710814965618,1541386
1710814965660,1542138
1710814965700,1540187
1710814965741,1536339
1710814965781,1536853
1710814965821,1540404
1710814965865,1543766
1710814965905,1544860
1710814965947,1545219
1710814965988,1547649
1710814966028,1551330
1710814966068,1554782
1710814966109,1556658
1710814966150,1558937
1710814966189,1564728
1710814966229,1571693
1710814966269,1575037
1710814966309,1575559
1710814966350,1573691
1710814966390,1571454
1710814966430,1570016
1710814966470,1568985
1710814966511,1568115
1710814966551,1567173
1710814966591,1566431
1710814966631,1565773
1710814966671,1564930
1710814966712,1564034
1710814966753,1563180
1710814966792,1562781
1710814966832,1564674
1710814966873,1569728
1710814966913,1572624
1710814966954,1570249
1710814966993,1565295
1710814967033,1562646
1710814967074,1563726
1710814967131,1566496
1710814967172,1567816
1710814967211,1568318
1710814967251,1569571
1710814967291,1570997
1710814967331,1572320
1710814967372,1571861
1710814967412,1571615
1710814967452,1573856
1710814967492,1577211
1710814967532,1578137
1710814967573,1577144
1710814967613,1573663
1710814967653,1570476
1710814967693,1568150
1710814967733,1566376
1710814967776,1565302
1710814967816,1564773
1710814967856,1564943
1710814967896,1565644
1710814967937,1565771
1710814967978,1565180
1710814968017,1564331
1710814968057,1563056
1710814968098,1563611
1710814968138,1568434
1710814968179,1572626
1710814968219,1573161
1710814968260,1570046
1710814968300,1568464
1710814968341,1569928
1710814968382,1570615
1710814968421,1571315
1710814968461,1573360
1710814968501,1575701
1710814968541,1576209
1710814968582,1575086
1710814968622,1574143
1710814968662,1575504
1710814968702,1579401
1710814968742,1580885
1710814968783,1580896
1710814968823,1580383
1710814968863,1579502
1710814968903,1577431
1710814968944,1574490
1710814968984,1571553
1710814969024,1569585
1710814969064,1568384
1710814969104,1568010
1710814969145,1568183
1710814969185,1568251
1710814969225,1568461
1710814969265,1568998
1710814969305,1570105
1710814969346,1576091
1710814969387,1585396
1710814969426,1593170
1710814969466,1596211
1710814969506,1596448
1710814969547,1595522
1710814969588,1593803
1710814969627,1591814
1710814969667,1590455
1710814969708,1589991
1710814969748,1590514
1710814969789,1591987
1710814969828,1593445
1710814969869,1594391
1710814969909,1595618
1710814969949,1596539
1710814969990,1597730
1710814970030,1597284
1710814970070,1596543
1710814970110,1595219
1710814970151,1594213
1710814970192,1593324
1710814970231,1590750
1710814970272,1587242
1710814970312,1584542
1710814970353,1583179
1710814970394,1583195
1710814970433,1583520
1710814970473,1583975
1710814970514,1584219
1710814970554,1583195
1710814970595,1583210
1710814970634,1589381
1710814970675,1598703
1710814970715,1605789
1710814970755,1608198
1710814970796,1608161
1710814970836,1607955
1710814970876,1608548
1710814970916,1608001
1710814970956,1606367
1710814970997,1604810
1710814971037,1603782
1710814971077,1603429
1710814971117,1603531
1710814971157,1604292
1710814971198,1604791
1710814971238,1604047
1710814971278,1602522
1710814971318,1601517
1710814971359,1600989
1710814971400,1600258
1710814971439,1599607
1710814971479,1599035
1710814971520,1598677
1710814971560,1598443
1710814971601,1596894
1710814971640,1593923
1710814971680,1590742
1710814971720,1587846
1710814971760,1585865
1710814971801,1585569
1710814971841,1585668
1710814971881,1588735
1710814971923,1596601
1710814971964,1606391
1710814972005,1612381
1710814972044,1611520
1710814972084,1609667
1710814972125,1609964
1710814972165,1610773
1710814972206,1611915
1710814972246,1612624
1710814972287,1612858
1710814972327,1612031
1710814972367,1610606
1710814972408,1608483
1710814972448,1607332
1710814972488,1607574
1710814972528,1609176
1710814972568,1609429
1710814972609,1609110
1710814972649,1608626
1710814972689,1607924
1710814972729,1607532
1710814972770,1607248
1710814972811,1606824
1710814972850,1606686
1710814972890,1607098
1710814972931,1607165
1710814972972,1605684
1710814973013,1602692
1710814973053,1600175
1710814973093,1599081
1710814973133,1599351
1710814973174,1604717
1710814973214,1614296
1710814973254,1623705
1710814973294,1626645
1710814973334,1625546
1710814973375,1624298
1710814973416,1624348
1710814973455,1625402
1710814973495,1626360
1710814973536,1627197
1710814973576,1628254
1710814973617,1627870
1710814973656,1626259
1710814973697,1624258
1710814973737,1622590
1710814973777,1621925
1710814973818,1621315
1710814973858,1621008
