time,ecg
1710812345045,90
1710812345052,95
1710812345060,107
1710812345068,112
1710812345075,112
1710812345083,125
1710812345091,142
1710812345097,149
1710812345105,157
1710812345113,174
1710812345121,191
1710812345129,201
1710812345137,208
1710812345144,208
1710812345152,203
1710812345160,191
1710812345168,171
1710812345175,149
1710812345183,120
1710812345191,80
1710812345198,44
1710812345206,24
1710812345214,9
1710812345221,-4
1710812345229,-12
1710812345237,-9
1710812345244,-4
1710812345252,0
1710812345260,2
1710812345267,9
1710812345275,19
1710812345283,22
1710812345289,24
1710812345297,34
1710812345305,39
1710812345313,39
1710812345321,41
1710812345329,46
1710812345336,49
1710812345344,51
1710812345352,58
1710812345359,63
1710812345367,63
1710812345375,61
1710812345382,58
1710812345390,61
1710812345398,61
1710812345405,56
1710812345413,51
1710812345421,56
1710812345429,58
1710812345436,58
1710812345444,58
1710812345452,58
1710812345459,56
1710812345467,58
1710812345475,61
1710812345481,61
1710812345489,58
1710812345497,58
1710812345505,56
1710812345513,56
1710812345521,56
1710812345528,61
1710812345536,66
1710812345544,68
1710812345551,68
1710812345559,63
1710812345567,61
1710812345574,61
1710812345582,56
1710812345590,58
1710812345597,76
1710812345605,88
1710812345613,98
1710812345620,105
1710812345628,90
1710812345636,68
1710812345643,61
1710812345651,71
1710812345659,76
1710812345665,68
1710812345673,63
1710812345681,68
1710812345689,73
1710812345697,100
1710812345705,223
1710812345713,488
1710812345720,748
1710812345728,674
1710812345736,132
1710812345743,-404
1710812345751,-345
1710812345759,-36
1710812345766,-7
1710812345774,-24
1710812345782,53
1710812345789,56
1710812345797,34
1710812345805,63
1710812345812,83
1710812345820,76
1710812345828,83
1710812345835,95
1710812345843,95
1710812345851,100
1710812345857,112
1710812345865,122
1710812345873,127
1710812345881,132
1710812345889,139
1710812345897,152
1710812345904,166
1710812345912,176
1710812345920,186
1710812345927,198
1710812345935,211
1710812345943,215
1710812345951,213
1710812345958,213
1710812345966,208
1710812345974,184
1710812345981,157
1710812345989,137
1710812345997,110
1710812346004,76
1710812346012,51
1710812346020,36
1710812346027,24
1710812346035,22
1710812346043,19
1710812346049,19
1710812346057,19
1710812346065,22
1710812346073,26
1710812346081,31
1710812346089,36
1710812346096,41
1710812346104,44
1710812346112,49
1710812346119,49
1710812346127,49
1710812346135,51
1710812346142,61
1710812346150,63
1710812346158,63
1710812346165,63
1710812346173,56
1710812346181,51
1710812346188,53
1710812346196,46
1710812346204,41
1710812346211,41
1710812346219,44
1710812346227,49
1710812346235,51
1710812346241,49
1710812346249,49
1710812346257,56
1710812346265,53
1710812346273,46
1710812346281,44
1710812346288,51
1710812346296,49
1710812346304,44
1710812346311,44
1710812346319,51
1710812346327,56
1710812346334,53
1710812346342,58
1710812346350,66
1710812346357,68
1710812346365,68
1710812346373,73
1710812346380,71
1710812346388,61
1710812346396,63
1710812346403,80
1710812346411,95
1710812346419,107
1710812346425,115
1710812346433,112
1710812346441,90
1710812346449,66
1710812346457,63
1710812346465,76
1710812346472,78
1710812346480,73
1710812346488,68
1710812346496,71
1710812346503,83
1710812346511,137
1710812346519,304
1710812346526,586
1710812346534,775
1710812346542,556
1710812346549,-56
1710812346557,-449
1710812346565,-230
1710812346572,29
1710812346580,4
1710812346588,26
1710812346595,95
1710812346603,76
1710812346611,66
1710812346617,95
1710812346625,95
1710812346633,93
1710812346641,103
1710812346649,112
1710812346657,110
1710812346664,107
1710812346672,103
1710812346680,103
1710812346687,103
1710812346695,115
1710812346703,127
1710812346710,134
1710812346718,144
1710812346726,154
1710812346733,171
1710812346741,186
1710812346749,193
1710812346757,193
1710812346764,196
1710812346772,196
1710812346780,184
1710812346787,166
1710812346795,147
1710812346803,120
1710812346809,85
1710812346817,56
1710812346825,39
1710812346833,24
1710812346841,7
1710812346849,-2
1710812346856,0
1710812346864,4
1710812346872,4
1710812346879,12
1710812346887,22
1710812346895,19
1710812346902,19
1710812346910,29
1710812346918,31
1710812346925,29
1710812346933,26
1710812346941,31
1710812346948,39
1710812346956,46
1710812346964,46
1710812346971,46
1710812346979,51
1710812346987,53
1710812346993,51
1710812347001,51
1710812347009,53
1710812347017,49
1710812347025,39
1710812347033,41
1710812347041,49
1710812347048,49
1710812347056,46
1710812347064,51
1710812347071,56
1710812347079,56
1710812347087,53
1710812347094,56
1710812347102,58
1710812347110,58
1710812347117,56
1710812347125,61
1710812347133,66
1710812347140,68
1710812347148,68
1710812347156,73
1710812347163,71
1710812347171,61
1710812347179,49
1710812347185,46
1710812347193,56
1710812347201,66
1710812347209,68
1710812347217,80
1710812347225,88
1710812347232,68
1710812347240,44
1710812347248,49
1710812347255,58
1710812347263,56
1710812347271,61
1710812347278,71
1710812347286,71
1710812347294,76
1710812347302,130
1710812347309,291
1710812347317,561
1710812347325,743
1710812347332,534
1710812347340,-61
1710812347348,-446
1710812347355,-238
1710812347363,17
1710812347371,-4
1710812347377,12
1710812347385,80
1710812347393,61
1710812347401,51
1710812347409,83
1710812347417,93
1710812347424,83
1710812347432,85
1710812347440,88
1710812347447,80
1710812347455,85
1710812347463,98
1710812347470,98
1710812347478,98
1710812347486,107
1710812347493,122
1710812347501,130
1710812347509,144
1710812347516,164
1710812347524,174
1710812347532,179
1710812347539,186
1710812347547,191
1710812347555,186
1710812347561,171
1710812347569,161
1710812347577,154
1710812347585,130
1710812347593,103
1710812347601,83
1710812347609,61
1710812347616,46
1710812347624,41
1710812347632,31
1710812347639,17
1710812347647,12
1710812347655,12
1710812347662,9
1710812347670,4
1710812347678,7
1710812347685,7
1710812347693,2
1710812347701,7
1710812347708,14
1710812347716,17
1710812347724,24
1710812347731,34
1710812347739,34
1710812347747,34
1710812347753,39
1710812347761,39
1710812347769,34
1710812347777,36
1710812347785,46
1710812347793,46
1710812347800,41
1710812347808,41
1710812347816,49
1710812347823,49
1710812347831,46
1710812347839,53
1710812347847,53
1710812347854,53
1710812347862,56
1710812347870,58
1710812347877,63
1710812347885,61
1710812347893,56
1710812347900,61
1710812347908,66
1710812347916,58
1710812347923,51
1710812347931,51
1710812347939,58
1710812347945,58
1710812347953,56
1710812347961,61
1710812347969,76
1710812347977,90
1710812347985,98
1710812347992,83
1710812348000,51
1710812348008,41
1710812348015,61
1710812348023,68
1710812348031,66
1710812348038,71
1710812348046,73
1710812348054,73
1710812348061,93
1710812348069,176
1710812348077,385
1710812348084,657
1710812348092,716
1710812348100,331
1710812348107,-230
1710812348115,-338
1710812348123,-53
1710812348131,22
1710812348137,-34
1710812348145,44
1710812348153,85
1710812348161,51
1710812348169,58
1710812348177,78
1710812348184,76
1710812348192,73
1710812348200,66
1710812348207,68
1710812348215,83
1710812348223,95
1710812348230,98
1710812348238,103
1710812348246,112
1710812348253,115
1710812348261,120
1710812348269,130
1710812348276,137
1710812348284,147
1710812348292,166
1710812348299,181
1710812348307,179
1710812348315,174
1710812348321,174
1710812348329,171
1710812348337,159
1710812348345,137
1710812348353,117
1710812348361,100
1710812348368,78
1710812348376,58
1710812348384,49
1710812348392,41
1710812348399,31
1710812348407,24
1710812348415,22
1710812348422,19
1710812348430,12
1710812348438,9
1710812348445,14
1710812348453,17
1710812348461,19
1710812348468,29
1710812348476,34
1710812348484,39
1710812348491,49
1710812348499,51
1710812348507,49
1710812348513,46
1710812348521,44
1710812348529,41
1710812348537,44
1710812348545,49
1710812348553,46
1710812348560,41
1710812348568,49
1710812348576,56
1710812348583,58
1710812348591,56
1710812348599,51
1710812348606,44
1710812348614,39
1710812348622,41
1710812348629,49
1710812348637,51
1710812348645,46
1710812348653,44
1710812348660,44
1710812348668,51
1710812348676,53
1710812348683,58
1710812348691,61
1710812348699,53
1710812348705,51
1710812348713,63
1710812348721,71
1710812348729,73
1710812348737,88
1710812348745,100
1710812348752,80
1710812348760,51
1710812348768,41
1710812348775,53
1710812348783,63
1710812348791,61
1710812348798,49
1710812348806,51
1710812348814,61
1710812348821,83
1710812348829,191
1710812348837,446
1710812348844,701
1710812348852,652
1710812348860,171
1710812348867,-314
1710812348875,-260
1710812348883,0
1710812348889,-14
1710812348897,-44
1710812348905,46
1710812348913,58
1710812348921,34
1710812348929,56
1710812348937,68
1710812348944,68
1710812348952,83
1710812348960,85
1710812348967,80
1710812348975,80
1710812348983,90
1710812348990,103
1710812348998,110
1710812349006,112
1710812349013,125
1710812349021,137
1710812349029,142
1710812349036,152
1710812349044,161
1710812349052,174
1710812349059,181
1710812349067,186
1710812349075,181
1710812349081,174
1710812349089,159
1710812349097,144
1710812349105,127
1710812349113,107
1710812349121,88
1710812349128,71
1710812349136,44
1710812349144,24
1710812349151,14
1710812349159,4
1710812349167,0
1710812349174,0
1710812349182,2
1710812349190,2
1710812349198,14
1710812349205,24
1710812349213,14
1710812349221,9
1710812349228,26
1710812349236,36
1710812349244,29
1710812349251,31
1710812349259,31
1710812349267,36
1710812349273,49
1710812349281,51
1710812349289,44
1710812349297,41
1710812349305,51
1710812349313,58
1710812349320,49
1710812349328,34
1710812349336,34
1710812349343,44
1710812349351,44
1710812349359,46
1710812349366,39
1710812349374,36
1710812349382,46
1710812349389,49
1710812349397,44
1710812349405,49
1710812349412,56
1710812349420,53
1710812349428,51
1710812349435,56
1710812349443,56
1710812349451,53
1710812349457,61
1710812349465,71
1710812349473,78
1710812349481,80
1710812349489,93
1710812349497,110
1710812349505,80
1710812349512,39
1710812349520,41
1710812349528,46
1710812349535,49
1710812349543,63
1710812349551,61
1710812349558,51
1710812349566,66
1710812349574,115
1710812349581,245
1710812349589,500
1710812349597,738
1710812349604,650
1710812349612,142
1710812349620,-314
1710812349627,-220
1710812349635,14
1710812349643,-22
